,rating,comment
27983,1.0,hậu ăn_đổi vị tươi mềm mắc tự_nhủ
10395,1.0,kén bảo không_làm mềm thơm giá_cả mềm yêu cười măng tiết thơm khô cười
40236,1.0,nan
22331,1.0,mưa mưa_nắng quài riết sốt giải cảm bớt phục_vụ thoáng mát
9659,1.0,dậy muộn vội tạm đông không_rộng rãi rẻ thịt_băm mộc_nhĩ kèm cút không_nóng ăn_nguội dễ_tính
34283,1.0,ướp nẵng nhiệt_tình rộng_rãi sạch_sẽ ghé thử
17652,1.0,trí mùng đông đợi
16680,1.0,mưa thử trú dễ_thương trông toàn bình_thường không_hơi chật_hẹp thử không_ưng mỗi_tội
35559,1.0,không_trưng
19529,1.0,nguyên cũ tô đầy_đủ tép lộn giá_cả bình_dân nê bổ rẻ
26957,1.0,thèm trứng_cá ngại tạt vô đông quá_chừng vô nườm_nượp mãi trống đợi munhf sạch phục_vụ tâm đông không_tô
3234,1.0,đông uống thích chế ghê ủng_hộ
2414,1.0,khô thơm dân_dã dân_tộc way
34412,1.0,shop gõ cháy chiên lắc cháy chiên ỉu chế giá_thành xíu nướng thử
9368,1.0,bánh_hơi kém toàn sệt chẳng_thấy chả múc chả toàn không_đến nấu sẵn múc ăn_nóng hâm nhân
4805,1.0,vô cúi chào dễ_thương ngại tư_vấn lúng_túng không_đủ bí không_đẹp lẩu không_hợp vị tươi sốt lạ lạ hông đắt thèm ghé lẩu nướng không_hợp thất_vọng
29834,1.0,đà đà nổi_tiếng lạnh không_khí nổi_tiếng nóng dân_dã nướng nướng nóng ốc_nhồi bán_mình bích ấm_cúng đơn_giản sạch_sẽ ấm nhồi xả ấm thơm thử lạt
9465,1.0,phá thơm béo thịt_thà phá ưng_ý phá rẽ giảm_giá liền nước_chấm kèm phá thích ủng_hộ
20597,1.0,nan
39338,1.0,toàn đợi hẳn lận bánh_rán toàn dĩ_nhiên không_nhưng thề nhiêu đường_cái nóng chảo bọc thơm bánh_dẻo ngấy đỗ không_bị không_bứ thích bọc bọc lượn nhắc thèm quên đỗ cố_gắng gọn_gàng
19922,1.0,đẹp toàn dán sửa bắt_mắt đẹp đẹp đổi trình_bày trông chê giá_cả hợp không_quán bàn ghê rộng sạch_sẽ thân_thiện
2135,1.0,nan
3507,1.0,tân thích giá_cả
38764,1.0,thạch giá_cả hợp_lý đa_dạng
33964,1.0,ghé không_thấy già bảo đau chất_lượng lọc sơ_sài đỡ tụt
12277,1.0,thoáng đẹp phục_vụ uống cụp đẹp chụp không_nên tự_cảm_nhận
37329,1.0,lựa_chọn nhiên đông cứng chảy thức_ăn nhẹ tân_tiến mát vắng đông nhiệt_tình_nhân_viên lơ_là
32609,1.0,sáng_sủa sống ảo
18578,1.0,đình
34520,1.0,đói đói ghé ấm_bụng khỏe xửng hấp_dẫn lá_cẩm đậu_phộng đậu_đen ghiền thập_cẩm xé chả_lụa chà_bông thơm thích thân_thiện ủng_hộ
27858,1.0,bổ phú tân_thành rịavũng đẹp vực ổn đẹp mát_mẻ ghé
21677,1.0,nẵng ghiền hẹp bất_tiện mọ chờ duyệt
26209,1.0,đông sữa_tươi đen uống thích đen thơm dịu thuốc_bắc béo béo trân_châu ổn không_hăn uống bạch trân_châu học_viên chất_lượng ổn
29674,1.0,ăn_vặt ghiền sống lập thành_phần tưởng ghiền đa_dạng thạch thạch dẻo trân_châu thích
28119,1.0,phục_vụ tốt không_đẹp hợp_lý
24437,1.0,cộng thân_thiện nhẹn thái ổn không_lắm nấm há chán ổn
27143,1.0,ghé uống phùng gọn_gàng sạch_sẽ rộng_rãi thoải_mái không_đông vỉa_hè tuỳ lựa_chọn ép ép không_phân diễn nhẹ nhẹ uống nguyên_chất đặc nước_ngọt_lịm không_bỏ xoài không_thử bảo ép bưởi đợi nhẹn không_quá nở thử
15695,1.0,kết_hợp nhìu sạch_sẽ phục_vụ nhiệt_tình đà thèm ghé
14846,1.0,thử shipper dễ_thương thích chất_lượng bình_thường nướng xào ổn nhạt chả_thấy giá_cả đắt khuyến_mãi không_đặt mắc
9305,1.0,không_mới không_nghĩ đẹp sâu một_mình miến trộn trộn đẹp mát cực thích thích thích thích thích
40407,1.0,lạ ùa bình_thường đặc_sắc cảm_giác mềm
28019,1.0,ghé lạt sạch lẹ rẻ chêcười đà
10345,1.0,đa_số thơm ỏ kẹp thử chất_lượng không_ngán nưa nở không_dễ thương
33557,1.0,người_yêu kêu kèm thích nhiềuuuu đói kêu lăn hông nổi mặn chấm đỡ ghé dài_dài
39711,1.0,không_như thử
27447,1.0,teen liền đông ồn_ào cười nổi ổn trứng chẳng_hiểu thử không_thấy feeling oloong thơm lạ_miệng không_dậy
16901,1.0,nếm đỉnhkhoái nướng cút lộn memột nướng bạch_tuộc nướng bá cháy
37026,1.0,ăn_chơi thiêng ghê tươi
9193,1.0,teriyaki sốt thấm mềm mọng chuẩn không_rẻ
32181,1.0,thử thường_xuyên kết hàn
25846,1.0,thèm_thuồng nhot ngóng uống chúc_mừng nghiện_ngập thành_công không_như kết_bạn mọc chú_ý cười_cười_cười hút dệt đồ_uống không_chăng sì_sụp không_đặc sắc chuacười dã ttop
12917,1.0,thủ ráng giới_thiệu đông teen rẻ không_tưởng toàn rẻ sống nẵng uống thích rẻ
18622,1.0,nóng cơ_quan mời tắc dè thơm muồi tắc
26813,1.0,cựu_học uống giải_khát học ưa học sinhtừ vịcó_thể kèm tuỳ phêcacao kèm tươi học uống hàng uống không_xuể học đóira tặng kèm thìcười yếu phục_vụ đông dễ_thương ủng_hộ yêu
40841,1.0,nở ghé thử kêu nạmthịt nhiềunước đậm đàkhông tối
26253,1.0,nan
6864,1.0,phát_hiện uống béo thạch
22437,1.0,trương thử rẻ lẩu mát rộng_rãi nhiệt_tình sạch
9341,1.0,pl lạnh
5949,1.0,thơm
6496,1.0,lê_thánh không_khó đúc đông chờ bận không_nên rãnh đông kèm nhiệt_tình
1767,1.0,định đợi không_thì bảo nóng bảo không_hiểu chói kéo bảo dời đừng kéo không_muốn kéo khuất đừng gắn không_mình dễ_thương uống ổn miễn_phí
13593,1.0,tâm cá_mập phục_vụ đông sạch_sẽ cộng nộm nộm chimm bột_lọc đắt đắt
39498,1.0,rẻ mỳ xào miễn_phí hợp ủng
15220,1.0,enviorment
32243,1.0,bé chủ_yếu đầy_đặn cho_dù giòn
38258,1.0,xối mập cắt khúc tiệm kiếm rà kiếm chiên không_quán ám mỡ_màng xối cơm_chiên xé òi dễ_chịu ghé xé cơm_chiên châu cơm_chiên sơ đem nóng không_ăn dặn bớt không_cơm ổn biệt chất_lượng châm_chước phục_vụ hàng gắt
14781,1.0,bún_chả ướp nướng cháy chả_viên lạc không_khô đói tạm ổn
29906,1.0,học nhuieuf ăn_vặt tokboki cút hàn lộn hàn lộn toàn xả chả_thấy rộng_rãi
40094,1.0,lùn đặc_sắc nhạt luộc mềm vụn ổn miến
1933,1.0,hiếm chèo review review rẻ xịn không_thích uống đắng cà_phê đá vừa_miệng cực hợp uống uống tiếp để_ý healthy nước_ép bổ chúc
42749,1.0,ghé thân_thiện
586,1.0,lòng_vòng ngẫu_nhiên ghé mặt_bằng rộng không_bên rộng thoáng phục_vụ chả_hết đá miễn_phí ổn rời nấu ướp nướng chả_rất rẻ không_đòi dĩa cười tóm_lại ổn hài_lòng
5797,1.0,thích trộn
18635,1.0,hợp_lí kèm giòn béo nước_chấm kèm đỡ ngán trừ bánh_xèo nguội thấm ngấy tươi thơm
27408,1.0,gòi muỗng tiếp đậu trái_cây tổng_cộng mát_mẻ thoải_mái ghé
9402,1.0,đắc di há bánh_gối ăn_nóng_hổi kỹ ngấm muộn héo nát không_đụng ổn thiên_ngọt nhân há cảo nạc tiêu giòn toàn
39581,1.0,ghé khô cháy dĩa điệp khoái đòi khô ăn_liền ngen điệp cực rẻ thích hành chấm vừa_miệng ốc tạm không_đã ghẹ thử nghêu khuyên đừng lạt tệ nấu chủ_yếu xào nướng hấp dỡ ké hô_hô bó chừng đẹp sò éc không_đã toàn tấp ốc
33255,1.0,ốc bắc_bộ hương_vị đậm_đà mùi_vị đỏ gọi_là tạm ổn không_đến tệ bình_thường
24699,1.0,không_nhỏ thức_ăn thức_ăn nấu hương_vị nếm nấu nấu thích thích_hợp nấu_ăn tiện
22003,1.0,háo_hức hộ công_nhận liên_kết cẩm khô trân_châu khô chẳng_thích trân_châu bảo cửa_sổ cẩm
3671,1.0,uống rẻ mèo cún
29387,1.0,bát nóng đổi thử cháoxong thành nghiện dậy muộn nghỉ rùi chết mãi cháonhuyễn đậm hành thơm hẳn trộn nốt_nhạc thử dẻo mềm khô thịtvừa không_quá tào_phớ thành
397,1.0,thoáng mát đem tẩy rùi chụp đợi hàu chiên không_mắc cỡ tươi chiên bó chiên sền_sệt sốt cảm_nhận toàn không_thấy lạc dở_hơi kì đừng cân hạp nì lạ_lùng lố lờ_lợ nhìu bì siêu_ngấy mềm xúc_xích xúc_xích hương_vị mềm không_thịt khô không_đậm gìbùn uống không_cồn cào
26746,1.0,trừ ăn_ở vừa_miệng ăn_ở tíu hầu_như chìu mặc_dù không_bị lẫn_lộn thích
27561,1.0,cổ
4379,1.0,mê ghé cắn
34905,1.0,steak trương hóng lười nóng xài vọng phô giá_cả cực vị sauce nhạt vị sốt cực nhạt kèm kèm không_rẻ
14524,1.0,bình_thường tiện ghé phổ_thông tráng sẵn khô măm tiện
41323,1.0,bệnh_viện châu_không_là buôn_bán đậu đậu kèm tươi kèm đặc_sắc_ngọt chấm rẻ tô không_phục đứng
809,1.0,cúng tuyệt mừng kỷ_niệm hẹn_hò thích viết
4422,1.0,nhiệt_tình ấn_tượng cực trí giả mát_mắt kén_chọn hài_lòng mẹt rán kêu sấu mơ không_bị_chát chảnh đậu ưng chả_mực dẻo thơm chả_ốc nổi_bật mơ thơm hợp_lý không_mắc bonus tặng trident trừ đa_dạng trải_nghiệm
11420,1.0,thích lật ngợp trình_bày ấn_tượng không_ở
3988,1.0,không_công không_quả bồi_bổ liên_hệ toàn ward district tilia
10470,1.0,kế_hoạch thành cưỡng hút ăn_ở chuẩn thích supreme mỏng thích đế mỏng đế cực bù dày cắn ngập giòn rôm_rốp dậy nguyên_liệu tẩm không_nhạt kèm không_sợ khô_cổ kết trận_địa thích trí đẹp_mắt thử không_sang
1967,1.0,giới_thiệu phán ghé thử bánh_giò ngen mềm béo thơm nóng
10247,1.0,dời đồng_tâm đừng pđphùng không_sạch rộng_rãi mát dễ_thương ghé phát nghiện nóng nước_mắm mặn hường gỏi chấm tốt xắp địa_phương ổn dễ_thương thân_thiện nhẹ_nhàng dễ_thương ỷ thái_độ khó_chịu
18752,1.0,ưu bình_dân chấm đu kèm tươi không_hài không_xuất ổn buồn gặm
37798,1.0,đầy_đủ chấm
585,1.0,bá đối_diện không_nhỏ không_đến không_nhỏ không_sáng sủa không_đặc nhiệt_tình chăm_sóc chất_lượng hồng_hạc đem không_thích
40538,1.0,truyền hại nghiện cà_phê nguyên thiết ghé
43203,1.0,uống không_dưới chuẩn thích đá thơm nhạt_nhẽo chả_thấy thử thích nguyên thử chế uống thích đổi hẳn rộng_rãi ghé uống đông
36714,1.0,nướng đông sạch_sẽ nướng kèm bò_thịt sụn nướng nấm kèm bánh_xèo bổn nướng ướp nhạt chút hàu béo kèm bánh_xèo thử lứm hạ nướng chất_lượng thích rẻ bèo nhẹn dễ_thương
12357,1.0,phát_hiện cực đính_chính hủ_tiếu đông lê_lợi đình đông_đúc lạ cực_kì chào_hỏi mặc_dù lạ nấu bình_thường thích thử hủ_tiếu đợi dã đầu_tư lạ tả thử dầu_mỡ vô thơm lỗ nước_lèo tốt uống thử sâm cúc thơm nấu_ăn mắc ghé
27911,1.0,bó ăn_ở bó chiên bọc nóng_hổi thơm mềm kết bó tiếp chúc đắt
11739,1.0,dịch_vụ chất_lượng tốt đông ví_dụ sản_phẩm lưu_ý
3208,1.0,đặc sốt lạ cực
17934,1.0,xuất_sắc gọn vệ hải_sản chiên nước_mắm thập_cẩm xối
10552,1.0,học đau_đầu sốt chả_muốn cật trương_định tđ cắt nguyễn_đức quán_xá toàn không_quán rộng bàn_ghế chủ_yếu chất_lượng thiwr không_quá không_bị đói mềm mịn miệg mặn nhạt tuỳ nêm thơm thơm cật óc miến hợp_lí không_lắm nấu_nướng phục_vụ sẵn đợi
13110,1.0,nan
12210,1.0,hàn hàn không_hợp việt ví_dụ chảy nước_mắt không_ăn nổi bình_thường đắt bình_thường không_hợp cứu thơm kèm chạy chạy
12950,1.0,hào ghé
29593,1.0,nan
17586,1.0,đừng mngcười dã nấu_ăn hạt_dẻ
38567,1.0,jolibee chát tẩm ướp sơ bở hawas chúc_mừng thơm sốt chấm kèm cực không_hề bở mềm yêu chiên cắn cảm_nhận chiên không_hề ớn í bonus đam_mê mãnh_liệt hẳn thúc_giục
4410,1.0,thơm nồng đa_dạng khổng_lồ cốt mềm thơm béo vị thử
25558,1.0,đông phả uống đậm_đà béo béo_ngậy ngậy trộn nổi không_gợi cảm tố hướng_dương
12825,1.0,rẻ đồng_hành hót họt
20449,1.0,biên hổm sập dời nấu khô lạ
41922,1.0,review ghé kêu ghẹ nướng ăn_nói không_đã
17477,1.0,sạch đẹp chuyên_nghiệp thơm
5657,1.0,thuận hòa mệnh ẩm_thực đông sạch dọn nướng dưa_góp sống giòn giòn lâm đặc_sệt ngòn_ngọt chấm đẫm sốt đông chờ nóng một_chút
43839,1.0,thơm chấm kèm sốt chê vọng thưởng_thức ủng_hộ
18616,1.0,bún_riêu bình_dân chất_lượng kêu bún_riêu kêu tô rẻ cực không_thoải
8877,1.0,chụp review nổi_tiếng ghé uống thử thèm toàn đào thất_vọng đồn_đại ngập_ngụa bạch tiếc nhạt béo uống ghé
32153,1.0,uống đóng tươi uống gói trở tặng
32401,1.0,dễ_thương trí teen xắn thơm béo uống kèm phô thích bạch vô béo thái uống trân_châu giá_thành kêu đầy_ắp thoáng đẹp thoải_mái
40143,1.0,giới_thiệu kiếm mò map giốnh không_sang sạch_sẽ dĩa hài dĩa bóc thơm đánh trắng thơm không_như ăn_uống hâm_nóng đậm mãi tiếp thuốn nhẹ tươi vừa_miệng kết_thúc tròn thiệt giá_cả hợp_lý vệ xuốnh
19045,1.0,đức kế khúc không_khó đập đông giá_cả không_quá mắc thịt_nướng kèm một_tí ổn
498,1.0,thích bắp_cải thơm ngòn
37460,1.0,thiết_kế sản_phẩm đẹp nhiệt_tình không_bị uống đậm hài_lòng
3021,1.0,rộng nóng bày đẹp thơm nóng cúc
23282,1.0,chủ_yếu ngắm đồ_uống đẹp khê bơi tràn chụp sống ảo
6662,1.0,ăn_ở gòn phát_hiện tấp bình_chọn thích rẻ cảm_nhận thơm thơm phát_hiện phô mốc ghê vị mặn mặn thơm kèm phô tươi phô duyệt bự tống cộng
4115,1.0,ngoài_trời thoáng uống thích kêu chiên sốt nước_tương kêu nguyên mắc trắng nước_ngọt không_nhớ huế duskin nguyễn_đức
32803,1.0,nan
36118,1.0,review mạn_phép sẻ viết lựa_chọn ghé chạy uống đa_dạng lựa_chọn thử giá_cả hợp_lý trí đẹp_mắt lịch_sự thạch xá sẵn trừ nhiên trống gõ delthy vọng rộng_rãi
19771,1.0,mặt_đường nguyễn_văn tray thoáng không_cũng trí đẹp phục_vụ lạ_miệng trông động không_thích mix uống lạ phục_vụ nhiệt_tình yêu giá_cả không_nhớ
1551,1.0,ổn văn_phòng bự bự tương kèm nướng thơm sốt nêm tôm phần_hoàng nguội
22590,1.0,nhẹ tưởng nhẹ_nhàng bạn_bè hợp_lý đẹp sống ảo hết_sảy
5584,1.0,thích uống thích tiến_thành nguội ăn_uống nhậu chả_dĩa chả_chả_thủ nguội chiên sốt nhậu thích lạnh ướp sẵn văn_phòng nóng_nực lạnh
43632,1.0,nhà_hàng chín lạnh chất_lượng nóng tươi bắt_mắt hấp_dẫn dễ_thương thoải_mái lạnh thân_thiện thử à_à hợp_lý đừng lỗ cười hẹn cười_cười
26528,1.0,chiều_chiều đói chả_cá thèm chả_cá bánh_mì đẩy chả_cá mềm không_bị khô ổn_định mềm vô_cùng hợp_lý
18498,1.0,nhật nướng ngậy thơm
37527,1.0,cư thịnh chuyên dê tự_nhiên đùi ướp núi_rừng nướng thử áp_dụng khuyến tặng tiger nâu trở trúng thưởng áp_dụng
9965,1.0,thích không_yên thoáng mát đẹp đẹp
12882,1.0,tối_trời mát thử liền trộn hình_như hàn kêu để_ý vuông không_tròn trộn ghé
30005,1.0,không_hiểu khến bất_ngờmình maigiá nhiên yêu yêu chất_lượng ổnbánh mềm ướt đậm trông bé nhiềucó không_hài khô rời_rạc tủ_lạnh phô không_ăn phô ngấyà khuất đóng
4206,1.0,trừ bột_lọc vô nướng phục_vụ tốt liền chụp ăn_liền
25624,1.0,rẻ phục_vụ ghé
27586,1.0,đông thèm bánh_mì đợi xách đợi đông đứng không_cũng tốn đầy_đủ ổ_bánh_mì dặn đông toàn
25258,1.0,đẹp thức_ăn
28458,1.0,tình_cờ hết_sức lòng_vòng đông hào phô châm đậu nước_chấm không_tìm đồ_ăn chế_biến đeo mẻ chỉ_dẫn tận_tình hào kèm lạ béo tương_ứng không_mắc không_thích chỗ_ngồi tạt tạt không_thoải
34344,1.0,chê
11587,1.0,lẹ kết tụ_tập
35270,1.0,ghé sạch thoáng tô không_ăn dặn chả_và thích kèm lẹ
15300,1.0,đoàng nướng nướng
15529,1.0,uống thơm bắp_ngô tách nấu kỳ_công
43341,1.0,ngán thưởng_thức nhẹ_nhàng vừa_vặn hài_lòng tả nổi yêu
31690,1.0,cheesecake không_bị bết khóc khóc khóc khóc
2013,1.0,chạy hoài không_quá tuyệt tối lãng_mạn ồn_ào nói_chuyện uống uống chips không_muốn phục_vụ nhiệt_tình
41069,1.0,mát không_lắm đông đợi cá_lóc tươi bạc_hà thơm bào nồi đậm_đà sôi chín_tới sôi tuyệt_vời kèm chấm xiêm dư đông chậm ghé
518,1.0,độ thỏa_mãn vô thử liền tổng_thể nhân bự bự thiếu_thốn thơm không_xuất sắc hẳn giới_thiệu dĩa bánh_tôm
19140,1.0,đóng hợp
43476,1.0,lạt đẹp yên_bình
8611,1.0,không_hài vữa phục_vụ
22381,1.0,ghé quacảm thú_vị phục_vụ hợp ghé nữacảm hotelcảm
42586,1.0,sốt phô nóng_hổi ngấm sốt quyện hết_sảy cánh_gà sốt cánh_gà tươi đông sành_ăn dễ_dàng thơm hẳn không_ăn thích vừa_miệng lắc phô giòn thơm chê chiên nóng giòn hẳn chiên nguội không_chiên chiên nguội_lạnh xào hàn phô ngấm sốt không_lắm thích bảo bảo gimbab thèm kimbab hương_vị vừa_miệng rẻ lê quán_xá đào đào không_bị lợ_lợ thích uống không_bị ngán uống đào hẳn thơm không_bị nhạt tắc thử uống thử tắc đào ổn thơm thoảng cốc trông yêu vô_cùng dạo cầm thưởng_thức nhiên không_quán hẹp đồ_ăn bình_dân
9322,1.0,thơm đậm không_gắt trắng mềm giòn thích khuyến_mãi rẻ ủng_hộ
22876,1.0,tổng_thể tốt í không_hỉu hàng giò kèm thông_thường giá_cả tốt chất_lượng đoán cười
42651,1.0,lủi tiện vắng nóng giòn ruốc cháy tươi cực giòn tồn_đọng mặn tươi bào
21321,1.0,rẻ luộc đông thử lộn luộc lạ_miệng nhầm không_vì không_đê
34529,1.0,ăn_tươi luợng chờ đông phục_vụ chậm nhầm bàn vội tô dễ_tính trở_lại
6684,1.0,đào thích kèm
38897,1.0,dễ_thương tĩnh uống
33609,1.0,ngắn_gọn dở nóng nóng thích nóng
6517,1.0,tốt chất_lượng đem nướng đùng cộng sốt chấm nóng_ăn kêu nướng
40054,1.0,ăn_ở kêu tô mặc_dù hủ_tiếu gõ khô trộn thích kích_thích vị_giác phục_vụ
42722,1.0,uống bingsu toilet bình_luận
8044,1.0,ghé uống đắt trái đắt bù nhiệt_tình
38182,1.0,thích sốt đậu sốt_chấm phô phần_tư không_kém hambuger uống tốt
19920,1.0,mò tô mỳ đậm_đà thấm ép tươi hương_vị chất_lượng nhạt thích thân_thiện trần sống trộn nước_lèo
17019,1.0,sâu chỉ_dẫn không_sợ lạc_đường rộng sạch_sẽ cô_chú thân_thiện nhẹ_nhàng không_thích có_lẽ ốc quá_trời mệt nghỉ cộng tươi không_lắm nước_chấm đồ_uống thích tuổi_thơ mưa tầm_tã định cô_chú ngăn sợ mưa hiểm tạnh hẳn thiệt yêu
6819,1.0,cực_kì thoáng mát nướng mềm khô kèm sốt ếch chiên kèm mặn cơm_chiên thích mập giới_thiệu hợp_lí đông ghé
22751,1.0,hàm rẽ trái ngạc_nhiên tiện không_mình rộng không_quá bí rộng_rãi bảo_vệ chẳng_để ấn_tượng dưng dửng đồ_uống uống trắng giòn
15719,1.0,chẳng_gì nhạt nhách loãng ăn_vặt tốt bổ rẻ
35869,1.0,căng đậu đậu chiên nóng giòn mềm dẻo mắm_tôm thơm ăn_giá hợp_lí
41353,1.0,chuẩn hàn quốc ngoại nhà_hàng thuê hẳn đẹp rộng thoáng trì í thơm chiên rán sẵn nghiền tương_đối không_ăn cân_nhắc báo đậm vị đồng_tiền
21993,1.0,hoàng đầy_đủ truyện đồ_chơi làm_quà tặng thân mặt_hàng thân_thiện gửi xách toán bookmark
30924,1.0,trần_phú vô nhà_hàng vô không_thì cực_kì đẹp thích sống ảo bàn_ghế dựa thích phục_vụ tận_tình mắc uống đồ_ăn mắc cực chất_lượng bình_thường vô uống thử
19506,1.0,lạ chiên nóng chẻ kẹp nhập shipper văn_phòng nóng dăm kèm hợp ghê vầy
3091,1.0,rewiew hồng tuyệt_vời đam trần_bì khô cười_cười bắt củng thân_thiện chủ_yếu thích_hợp thử cười
5733,1.0,tuyệt thơm_lừng đậm_đà đa_phần nóng cà_phê thơm nghiện
35440,1.0,based heard was rock bread was unlike where filling balance vegetable each plentiful variety was cut enough are cucumber
1703,1.0,đa_dạng trẻ tốt review nướng nướng tươi bánh_xèo phục_vụ không_tốt mặc mỏng cãi nhem_nhẻm lớn_tiếng bàn sờ_sờ dị_ứng phục_vụ hát ồn
7469,1.0,rẻ xuyên rẻ ghé thử uống không_review ún cười_cười không_thoải
20792,1.0,thích quẩy rụm nướng lựa_chọn
35275,1.0,học giá_cả bánh_mì ổn
12021,1.0,rộng_rãi uống phục_vụ ăn_vặt tư_vấn kĩ ghé ủng_hộ
12349,1.0,chả_cuốn ghé thiết
35663,1.0,mưa tấp trú mưa thử đậm thơm nướng nêm nếm thích giá_cả bình_dân
12807,1.0,lạt xuân_hương ấm_cúng lãng_mạn bày đẹp nhiệt_tình vừa_miệng giá_cả hợp_lý không_muốn rẻ
24419,1.0,mê kitlat kitkat thử liền hẳn tủ đề shop bàn_cãi kikat thích không_như toàn không_à không_thích
32659,1.0,rủ băng_chuyền thèm không_ăn ghé nhà_hàng thái thích uống hợp_lý hải_sản nhẹn thân_thiện hài_lòng ủng_hộ nhà_hàng
18586,1.0,ủng_hộ tố rẻ hợp_lý
7215,1.0,đại hải_sản tươi ghê chất_lượng hài_lòng
